observation_space,environment,architecture,checkpoint,task_id,step,loss,final_loss
mnist,easy,mlp,step_0,0.0,0.0,0.4988710284233093,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,10.0,0.40521031618118286,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,20.0,0.2822163999080658,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,30.0,0.16523034870624542,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,40.0,0.0835052877664566,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,50.0,0.036358535289764404,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,60.0,0.015016576275229454,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,70.0,0.006307030562311411,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,80.0,0.0025210347957909107,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,90.0,0.0009855268290266395,0.0011998392874374986
mnist,easy,mlp,step_0,0.0,100.0,0.0011998392874374986,0.0011998392874374986
mnist,easy,mlp,step_0,1.0,0.0,0.5003888607025146,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,10.0,0.4134952425956726,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,20.0,0.29640570282936096,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,30.0,0.1856611669063568,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,40.0,0.09651912748813629,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,50.0,0.04008111357688904,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,60.0,0.0167703814804554,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,70.0,0.007098437752574682,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,80.0,0.0030374936759471893,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,90.0,0.0013397852890193462,0.0008136622491292655
mnist,easy,mlp,step_0,1.0,100.0,0.0008136622491292655,0.0008136622491292655
mnist,easy,mlp,step_500,0.0,0.0,0.5894982218742371,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,10.0,0.4219335615634918,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,20.0,0.3352437913417816,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,30.0,0.25209370255470276,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,40.0,0.1744963377714157,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,50.0,0.10989643633365631,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,60.0,0.061559367924928665,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,70.0,0.03019607625901699,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,80.0,0.01315153855830431,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,90.0,0.005371773149818182,0.0019911660347133875
mnist,easy,mlp,step_500,0.0,100.0,0.0019911660347133875,0.0019911660347133875
mnist,easy,mlp,step_500,1.0,0.0,0.5751476883888245,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,10.0,0.4066709578037262,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,20.0,0.3206111490726471,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,30.0,0.2371636927127838,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,40.0,0.1575319468975067,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,50.0,0.09371985495090485,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,60.0,0.051232438534498215,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,70.0,0.026196379214525223,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,80.0,0.01259787566959858,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,90.0,0.00567404692992568,0.0024377580266445875
mnist,easy,mlp,step_500,1.0,100.0,0.0024377580266445875,0.0024377580266445875
mnist,easy,mlp,step_1000,0.0,0.0,0.6754071116447449,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,10.0,0.42022427916526794,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,20.0,0.31749874353408813,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,30.0,0.24214152991771698,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,40.0,0.1746790111064911,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,50.0,0.1163535863161087,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,60.0,0.07081203162670135,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,70.0,0.03956492990255356,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,80.0,0.020626608282327652,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,90.0,0.009949920699000359,0.004426972474902868
mnist,easy,mlp,step_1000,0.0,100.0,0.004426972474902868,0.004426972474902868
mnist,easy,mlp,step_1000,1.0,0.0,0.7010043859481812,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,10.0,0.4506831169128418,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,20.0,0.35467109084129333,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,30.0,0.28252556920051575,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,40.0,0.21778042614459991,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,50.0,0.16071420907974243,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,60.0,0.11167736351490021,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,70.0,0.07325440645217896,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,80.0,0.045649707317352295,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,90.0,0.0272284634411335,0.015583100728690624
mnist,easy,mlp,step_1000,1.0,100.0,0.015583100728690624,0.015583100728690624
